metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
5654,beta1,-3.0940,0.4379,1000,-7.07,<.0001,0.05,-3.9532,-2.2348,-0.00005
5654,sig1,-0.3031,0.4179,1000,-0.73,0.4684,0.05,-1.1232,0.5170,0.000080
5654,beta2,-3.6305,0.2171,1000,-16.72,<.0001,0.05,-4.0565,-3.2044,4.77E-6
5654,sig2,-10.0048,225.18,1000,-0.04,0.9646,0.05,-451.89,431.88,-3E-6
5654,fz,-0.1715,1.8911,1000,-0.09,0.9277,0.05,-3.8825,3.5394,0.000017
5805,logitpi,-1.0915,0,1000,I,<.0001,0.05,M,I,1683.54
5805,beta1,-1.4684,0,1000,I,<.0001,0.05,M,I,834.887
5805,sig1,0.1786,,1000,,,0.05,,,-865.596
5805,beta2,-0.4460,0,1000,I,<.0001,0.05,M,I,2374.62
5805,sig2,0.3570,,1000,,,0.05,,,-2931.90
5805,fz,4.0998,0,1000,I,<.0001,0.05,M,I,-0.74702
5823,logitpi,-23.1559,,1000,,,0.05,,,7.77E-10
5823,beta1,-2.1691,0.3879,1000,-5.59,<.0001,0.05,-2.9302,-1.4079,-2.96E-8
5823,sig1,0.03851,0.3263,1000,0.12,0.9061,0.05,-0.6018,0.6788,-0.00002
5823,beta2,-2.4356,0.5634,1000,-4.32,<.0001,0.05,-3.5412,-1.3300,1.352E-6
5823,sig2,0.4663,0.3072,1000,1.52,0.1294,0.05,-0.1366,1.0691,7.478E-6
5823,fz,1.1280,0.4377,1000,2.58,0.0101,0.05,0.2692,1.9868,3.22E-6
6094,logitpi,-2.9832,1.7553,1000,-1.70,0.0895,0.05,-6.4277,0.4613,0.33897
6094,beta1,-5.2922,0.1912,1000,-27.68,<.0001,0.05,-5.6674,-4.9170,6.25362
6094,sig1,-1.1180,,1000,,,0.05,,,-2.16464
6094,beta2,-7.1965,1.3993,1000,-5.14,<.0001,0.05,-9.9425,-4.4505,-0.08589
6094,sig2,1.3926,0.7264,1000,1.92,0.0555,0.05,-0.03286,2.8181,3.85763
6094,fz,4.8896,14.9911,1000,0.33,0.7444,0.05,-24.5281,34.3072,-0.00044
6265,logitpi,-1.3901,0.9596,1000,-1.45,0.1477,0.05,-3.2731,0.4929,0.000071
6265,beta1,-4.1362,0.5115,1000,-8.09,<.0001,0.05,-5.1400,-3.1324,-0.00007
6265,sig1,-0.1814,0.5952,1000,-0.30,0.7606,0.05,-1.3493,0.9865,-0.00010
6265,beta2,-5.6900,0.5978,1000,-9.52,<.0001,0.05,-6.8630,-4.5169,0.000044
6265,sig2,-4.8980,55.8693,1000,-0.09,0.9302,0.05,-114.53,104.74,5.53E-6
6265,fz,2.2526,,1000,,,0.05,,,-3.41E-6
6517,logitpi,-1.2519,0.7732,1000,-1.62,0.1057,0.05,-2.7692,0.2654,2.09660
6517,beta1,-5.8943,0,1000,I,<.0001,0.05,M,I,0
6517,sig1,4.8186,0,1000,I,<.0001,0.05,M,I,5.43226
6517,beta2,-4.7018,0,1000,I,<.0001,0.05,M,I,19.9572
6517,sig2,0.6974,0,1000,I,<.0001,0.05,M,I,5.633E81
6517,fz,4.0571,0,1000,I,<.0001,0.05,M,I,2.16270
6592,logitpi,-3.5393,0,1000,I,<.0001,0.05,M,I,2.106E81
6592,beta1,-6.7604,0,1000,I,<.0001,0.05,M,I,3.38167
