metaanalysisid,Descr,Value
167,BIC (smaller is better),270.3
168,-2 Log Likelihood,295.0
168,AIC (smaller is better),305.0
168,AICC (smaller is better),320.0
168,BIC (smaller is better),306.5
169,-2 Log Likelihood,252.1
169,AIC (smaller is better),262.1
169,AICC (smaller is better),277.1
169,BIC (smaller is better),263.6
170,-2 Log Likelihood,239.4
170,AIC (smaller is better),249.4
170,AICC (smaller is better),264.4
170,BIC (smaller is better),250.9
171,-2 Log Likelihood,138.0
171,AIC (smaller is better),148.0
171,AICC (smaller is better),163.0
171,BIC (smaller is better),149.5
172,-2 Log Likelihood,125.1
172,AIC (smaller is better),135.1
172,AICC (smaller is better),150.1
172,BIC (smaller is better),136.7
173,-2 Log Likelihood,192.1
173,AIC (smaller is better),202.1
173,AICC (smaller is better),217.1
173,BIC (smaller is better),203.6
174,-2 Log Likelihood,129.7
174,AIC (smaller is better),139.7
174,AICC (smaller is better),154.7
174,BIC (smaller is better),141.2
175,-2 Log Likelihood,195.3
175,AIC (smaller is better),205.3
175,AICC (smaller is better),220.3
175,BIC (smaller is better),206.8
176,-2 Log Likelihood,153.4
176,AIC (smaller is better),163.4
176,AICC (smaller is better),178.4
176,BIC (smaller is better),164.9
177,-2 Log Likelihood,221.3
177,AIC (smaller is better),231.3
177,AICC (smaller is better),246.3
177,BIC (smaller is better),232.8
178,-2 Log Likelihood,217.3
178,AIC (smaller is better),227.3
178,AICC (smaller is better),242.3
178,BIC (smaller is better),228.9
179,-2 Log Likelihood,197.6
179,AIC (smaller is better),207.6
179,AICC (smaller is better),222.6
179,BIC (smaller is better),209.1
180,-2 Log Likelihood,169.2
180,AIC (smaller is better),179.2
180,AICC (smaller is better),194.2
180,BIC (smaller is better),180.7
181,-2 Log Likelihood,177.3
181,AIC (smaller is better),187.3
181,AICC (smaller is better),202.3
181,BIC (smaller is better),188.8
182,-2 Log Likelihood,278.4
182,AIC (smaller is better),288.4
182,AICC (smaller is better),303.4
182,BIC (smaller is better),290.0
183,-2 Log Likelihood,231.7
183,AIC (smaller is better),241.7
183,AICC (smaller is better),256.7
183,BIC (smaller is better),243.2
184,-2 Log Likelihood,137.8
184,AIC (smaller is better),147.8
184,AICC (smaller is better),162.8
184,BIC (smaller is better),149.3
185,-2 Log Likelihood,282.0
185,AIC (smaller is better),292.0
185,AICC (smaller is better),307.0
185,BIC (smaller is better),293.5
186,-2 Log Likelihood,209.9
186,AIC (smaller is better),219.9
186,AICC (smaller is better),234.9
186,BIC (smaller is better),221.4
187,-2 Log Likelihood,155.1
187,AIC (smaller is better),165.1
187,AICC (smaller is better),180.1
187,BIC (smaller is better),166.6
188,-2 Log Likelihood,175.3
188,AIC (smaller is better),185.3
188,AICC (smaller is better),200.3
188,BIC (smaller is better),186.8
189,-2 Log Likelihood,249.4
189,AIC (smaller is better),259.4
189,AICC (smaller is better),274.4
189,BIC (smaller is better),261.0
190,-2 Log Likelihood,184.0
190,AIC (smaller is better),194.0
190,AICC (smaller is better),209.0
190,BIC (smaller is better),195.5
191,-2 Log Likelihood,180.4
191,AIC (smaller is better),190.4
191,AICC (smaller is better),205.4
191,BIC (smaller is better),191.9
192,-2 Log Likelihood,208.1
192,AIC (smaller is better),218.1
192,AICC (smaller is better),233.1
192,BIC (smaller is better),219.6
193,-2 Log Likelihood,256.1
193,AIC (smaller is better),266.1
193,AICC (smaller is better),281.1
193,BIC (smaller is better),267.6
194,-2 Log Likelihood,162.2
194,AIC (smaller is better),172.2
194,AICC (smaller is better),187.2
194,BIC (smaller is better),173.7
195,-2 Log Likelihood,152.8
195,AIC (smaller is better),162.8
195,AICC (smaller is better),177.8
195,BIC (smaller is better),164.3
196,-2 Log Likelihood,253.3
196,AIC (smaller is better),263.3
196,AICC (smaller is better),278.3
196,BIC (smaller is better),264.9
197,-2 Log Likelihood,157.3
197,AIC (smaller is better),167.3
197,AICC (smaller is better),182.3
197,BIC (smaller is better),168.8
198,-2 Log Likelihood,118.5
198,AIC (smaller is better),128.5
198,AICC (smaller is better),143.5
198,BIC (smaller is better),130.0
199,-2 Log Likelihood,129.3
199,AIC (smaller is better),139.3
199,AICC (smaller is better),154.3
199,BIC (smaller is better),140.8
200,-2 Log Likelihood,81.4
200,AIC (smaller is better),91.4
200,AICC (smaller is better),106.4
200,BIC (smaller is better),92.9
201,-2 Log Likelihood,265.8
201,AIC (smaller is better),275.8
201,AICC (smaller is better),290.8
201,BIC (smaller is better),277.3
202,-2 Log Likelihood,240.9
202,AIC (smaller is better),250.9
202,AICC (smaller is better),265.9
202,BIC (smaller is better),252.4
203,-2 Log Likelihood,208.2
203,AIC (smaller is better),218.2
203,AICC (smaller is better),233.2
203,BIC (smaller is better),219.7
204,-2 Log Likelihood,187.9
204,AIC (smaller is better),197.9
204,AICC (smaller is better),212.9
204,BIC (smaller is better),199.4
205,-2 Log Likelihood,127.0
205,AIC (smaller is better),137.0
205,AICC (smaller is better),152.0
205,BIC (smaller is better),138.6
206,-2 Log Likelihood,199.3
206,AIC (smaller is better),209.3
206,AICC (smaller is better),224.3
206,BIC (smaller is better),210.9
207,-2 Log Likelihood,202.6
207,AIC (smaller is better),212.6
207,AICC (smaller is better),227.6
207,BIC (smaller is better),214.1
208,-2 Log Likelihood,231.8
208,AIC (smaller is better),241.8
208,AICC (smaller is better),256.8
208,BIC (smaller is better),243.3
209,-2 Log Likelihood,210.7
209,AIC (smaller is better),220.7
209,AICC (smaller is better),235.7
209,BIC (smaller is better),222.2
210,-2 Log Likelihood,195.4
210,AIC (smaller is better),205.4
210,AICC (smaller is better),220.4
210,BIC (smaller is better),206.9
211,-2 Log Likelihood,195.5
211,AIC (smaller is better),205.5
211,AICC (smaller is better),220.5
211,BIC (smaller is better),207.0
212,-2 Log Likelihood,137.2
212,AIC (smaller is better),147.2
212,AICC (smaller is better),162.2
212,BIC (smaller is better),148.7
213,-2 Log Likelihood,227.6
213,AIC (smaller is better),237.6
213,AICC (smaller is better),252.6
213,BIC (smaller is better),239.1
214,-2 Log Likelihood,137.5
214,AIC (smaller is better),147.5
214,AICC (smaller is better),162.5
214,BIC (smaller is better),149.0
215,-2 Log Likelihood,267.3
215,AIC (smaller is better),277.3
215,AICC (smaller is better),292.3
215,BIC (smaller is better),278.8
216,-2 Log Likelihood,256.7
216,AIC (smaller is better),266.7
216,AICC (smaller is better),281.7
216,BIC (smaller is better),268.2
217,-2 Log Likelihood,221.6
217,AIC (smaller is better),231.6
217,AICC (smaller is better),246.6
217,BIC (smaller is better),233.1
218,-2 Log Likelihood,250.8
218,AIC (smaller is better),260.8
218,AICC (smaller is better),275.8
