metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
6868,sig2,0.2579,0.3231,1000,0.80,0.4249,0.05,-0.3761,0.8919,0.000286
6868,fz,1.7992,1.1740,1000,1.53,0.1257,0.05,-0.5046,4.1030,-0.00002
6889,beta1,-4.4015,0.5250,1000,-8.38,<.0001,0.05,-5.4318,-3.3713,-0.00010
6889,sig1,0.01314,0.3755,1000,0.03,0.9721,0.05,-0.7237,0.7500,-0.00005
6889,beta2,-3.7454,0.4710,1000,-7.95,<.0001,0.05,-4.6696,-2.8211,-0.00044
6889,sig2,0.03044,0.4086,1000,0.07,0.9406,0.05,-0.7714,0.8323,-0.00001
6889,fz,0.9100,0.7459,1000,1.22,0.2227,0.05,-0.5537,2.3737,0.000051
6892,beta1,-3.4660,0,1000,I,<.0001,0.05,M,I,0.016164
6892,sig1,0.05693,0,1000,I,<.0001,0.05,M,I,0.006893
6892,beta2,-3.4810,0,1000,I,<.0001,0.05,M,I,-0.01089
6892,sig2,0.2141,0,1000,I,<.0001,0.05,M,I,7.875E81
6892,fz,6.5303,0,1000,I,<.0001,0.05,M,I,-0.00010
6916,beta1,-2.4440,0.5726,1000,-4.27,<.0001,0.05,-3.5676,-1.3205,0.000086
6916,sig1,0.4624,0.4079,1000,1.13,0.2572,0.05,-0.3380,1.2629,0.000339
6916,beta2,-2.3795,0.5618,1000,-4.24,<.0001,0.05,-3.4820,-1.2770,0.000572
6916,sig2,0.4493,0.4016,1000,1.12,0.2635,0.05,-0.3388,1.2374,-0.00073
6916,fz,6.2065,29.2793,1000,0.21,0.8322,0.05,-51.2493,63.6624,-0.00006
6955,beta1,-3.8019,0.1935,1000,-19.65,<.0001,0.05,-4.1816,-3.4221,0.000081
6955,sig1,-0.1601,0.2041,1000,-0.78,0.4330,0.05,-0.5605,0.2404,0.000139
6955,beta2,-2.9984,0.1510,1000,-19.86,<.0001,0.05,-3.2946,-2.7021,0.000050
6955,sig2,-0.3064,0.1943,1000,-1.58,0.1151,0.05,-0.6877,0.07485,-0.00008
6955,fz,1.1985,0.4486,1000,2.67,0.0077,0.05,0.3182,2.0788,-0.00003
6979,beta1,-3.7257,0.3288,1000,-11.33,<.0001,0.05,-4.3709,-3.0805,-0.00044
6979,sig1,-0.06452,0.3160,1000,-0.20,0.8383,0.05,-0.6847,0.5556,-0.00064
